Date,Open,High,Low,Close,Adj Close,Volume
2016-07-08,108.589996,109.680000,108.470001,109.559998,107.717407,441400
2016-07-11,109.849998,110.330002,109.750000,109.970001,108.120522,473800
2016-07-12,110.489998,110.790001,110.290001,110.589996,108.730080,469500
2016-07-13,110.839996,110.879997,110.250000,110.320000,108.464638,404700
2016-07-14,111.000000,111.169998,110.669998,110.959999,109.093864,463200
2016-07-15,111.279999,111.300003,110.580002,110.750000,108.887405,489600
2016-07-18,110.870003,111.300003,110.750000,111.239998,109.369156,401700
2016-07-19,110.839996,111.080002,110.739998,111.029999,109.162697,792600
2016-07-20,111.180000,111.739998,111.080002,111.639999,109.762436,440900
2016-07-21,111.610001,111.739998,110.870003,111.190002,109.320007,415000
2016-07-22,111.290001,111.730003,111.050003,111.610001,109.732948,411100
2016-07-25,111.629997,111.629997,111.150002,111.529999,109.654282,545300
2016-07-26,111.419998,111.739998,110.959999,111.440002,109.565796,428600
2016-07-27,111.919998,111.980003,111.180000,111.699997,109.821419,526600
2016-07-28,111.699997,112.239998,111.510002,112.129997,110.244194,423500
2016-07-29,112.209999,112.610001,111.870003,112.330002,110.440826,468800
2016-08-01,112.339996,112.919998,112.209999,112.599998,110.706291,390300
2016-08-02,112.480003,112.510002,111.209999,111.730003,109.850922,622000
2016-08-03,111.650002,112.019997,111.510002,111.970001,110.086884,552800
2016-08-04,112.010002,112.349998,111.739998,112.150002,110.263863,382800
2016-08-05,112.440002,112.919998,112.330002,112.839996,110.942253,407100
2016-08-08,112.959999,112.980003,112.459999,112.570000,110.676788,503800
2016-08-09,112.669998,113.139999,112.620003,112.839996,110.942253,553700
2016-08-10,112.870003,112.930000,112.419998,112.629997,110.735786,411800
2016-08-11,112.980003,113.279999,112.739998,113.150002,111.247047,379600
2016-08-12,112.940002,113.220001,112.830002,113.099998,111.197876,365400
2016-08-15,113.300003,113.650002,113.169998,113.459999,111.551819,576100
2016-08-16,113.169998,113.220001,112.750000,112.769997,110.873436,375900
2016-08-17,112.739998,112.889999,112.169998,112.830002,110.932419,371900
2016-08-18,112.839996,113.089996,112.739998,113.010002,111.109398,393900
2016-08-19,112.690002,113.010002,112.529999,112.949997,111.050392,371900
2016-08-22,112.849998,113.160004,112.690002,112.989998,111.089722,523500
2016-08-23,113.349998,113.599998,113.300003,113.309998,111.404343,357700
2016-08-24,113.239998,113.309998,112.209999,112.480003,110.588310,602000
2016-08-25,112.269997,112.690002,112.070000,112.300003,110.411331,440800
2016-08-26,112.389999,113.099998,111.699997,112.239998,110.352333,539200
2016-08-29,112.389999,112.790001,112.339996,112.639999,110.745613,445800
2016-08-30,112.570000,112.690002,111.930000,112.220001,110.332672,508300
2016-08-31,112.029999,112.099998,111.570000,111.980003,110.096718,490800
2016-09-01,112.040001,112.220001,111.489998,112.199997,110.313011,517200
2016-09-02,112.599998,112.900002,112.239998,112.610001,110.716133,447700
2016-09-06,112.769997,113.129997,112.470001,113.129997,111.227371,1012400
2016-09-07,113.019997,113.180000,112.709999,113.160004,111.256882,369900
2016-09-08,112.800003,112.860001,112.330002,112.550003,110.657127,477900
2016-09-09,111.769997,111.769997,109.660004,109.660004,107.815742,739600
2016-09-12,109.190002,111.589996,109.169998,111.400002,109.526482,588200
2016-09-13,110.510002,110.629997,109.250000,109.599998,108.121681,708200
2016-09-14,109.730003,110.570000,109.610001,109.970001,108.486687,622200
2016-09-15,110.000000,111.370003,109.669998,111.180000,109.680367,493200
2016-09-16,110.889999,110.919998,110.389999,110.790001,109.295624,503100
2016-09-19,111.300003,111.500000,110.510002,110.720001,109.226570,792200
2016-09-20,111.190002,111.379997,110.779999,110.889999,109.394287,426600
2016-09-21,111.250000,112.180000,110.699997,112.040001,110.528770,459700
2016-09-22,112.040001,113.110001,112.040001,112.970001,111.446220,498900
2016-09-23,112.709999,112.730003,112.250000,112.330002,110.814850,469100
2016-09-26,111.860001,111.980003,111.349998,111.449997,109.946716,706900
2016-09-27,111.389999,112.169998,111.230003,112.150002,110.637283,1084900
